TYPE,AGE,RACE,FAMSIZE,HISTORIC,START_YEAR,END_YEAR,REHABTOTAL,FY_COMPLT,PARCEL_ID
SF,41,11 - WHITE,4,0,07/21,01/22,0,FY22,323
RENTAL,29,11 - WHITE,1,0,03/21,08/21,0,FY22,168
SF,38,11 - WHITE,4,0,03/21,08/21,0,FY22,461
SF,74,11 - WHITE,1,0,11/21,03/22,25925,FY22,895
SF,31,11 - WHITE,1,0,11/21,2/22,19490,FY22,180
SF,42,12 - BLACK/AFRICAN AMER,1,0,08/21,04/22,30031,FY23,634
SF,48,12 - BLACK/AFRICAN AMER,2,0,08/21,04/22,0,FY22,730
SF,63,11 - WHITE,1,0,08/21,4/22,0,FY22,938
SF,39,20 - OTHER MULTI-RACIAL,4,0,03/22,04/22,11100,FY22,997
SF,67,12 - BLACK/AFRICAN AMER,2,0,09/19,11/19,7870,FY20,1042
SF,55,20 - OTHER MULTI-RACIAL,2,0,05/19,09/19,14868,FY20,383
SF,64,11 - WHITE,1,0,10/19,12/19,37000,FY20,156
SF,64,12 - BLACK/AFRICAN AMER,1,0,10/19,12/19,7265,FY20,1057
SF,74,11 - WHITE,2,0,08/19,11/19,9375,FY20,891
SF,85,12 - BLACK/AFRICAN AMER,2,0,10/19,12/19,23550,FY20,1048
SF,82,20 - OTHER MULTI-RACIAL,4,0,05/19,07/19,7735,FY20,79
SF,53,11 - WHITE,1,0,03/20,06/20,475,FY20,327
SF,82,12 - BLACK/AFRICAN AMER,1,0,12/19,03/20,28025,FY20,639
RENTAL,0,11 - WHITE,0,0,05/18,09/18,18675,FY19,628
RENTAL,0,11 - WHITE,0,0,10/17,06/18,39321,FY18,363
RENTAL,0,11 - WHITE,0,0,01/18,08/18,37834,FY19,610
RENTAL,0,11 - WHITE,0,0,09/18,10/18,0,FY19,650
SF,0,11 - WHITE,0,0,09/18,10/19,0,FY19,366
RENTAL,0,11 - WHITE,0,0,01/18,10/18,0,FY19,337
RENTAL,0,7,0,0,10/18,11/18,0,FY19,811
RENTAL,0,11 - WHITE,0,0,03/18,10/18,21815,FY19,701
SF,70,11 - WHITE,1,0,06/18,08/18,4085,FY19,314
SF,0,0 - NON-PROFIT,0,0,02/17,04/18,75100,FY18,894
SF,59,12 - BLACK/AFRICAN AMER,1,0,10/17,06/18,26830,FY18,880
SF,27,11 - WHITE,1,0,04/18,05/18,0,FY18,1086
SF,25,11 - WHITE,1,0,04/18,05/18,0,FY18,1088
SF,43,11 - WHITE,2,0,10/17,04/18,10020,FY18,353
SF,59,11 - WHITE,1,0,04/18,08/18,13175,FY19,43
SF,32,18 - BLACK/AF AM & WHITE,3,0,05/18,09/18,0,FY19,166
SF,0,0 - NON-PROFIT,0,0,01/14,09/18,199294.25,FY19,166
SF,66,11 - WHITE,4,0,06/18,07/18,6875,FY19,182
RENTAL,0,11 - WHITE,0,0,09/18,12/18,18055,FY19,301
RENTAL,0,11 - WHITE,0,0,03/18,10/18,13080,FY19,408
SF,34,11 - WHITE,3,0,02/18,12/18,57630,FY19,616
SF,34,11 - WHITE,5,0,01/18,07/18,37050,FY19,898
RENTAL,0,11 - WHITE,,0,01/18,02/18,0,FY18,358
SF,47,11 - WHITE,3,0,05/18,10/18,21095,FY19,1010
SF,0,0 - NON-PROFIT,,0,03/14,10/18,47563.9296875,FY19,1091
SF,0,0 - NON-PROFIT,,0,03/14,10/18,36951.94921875,FY19,1085
SF,34,20 - OTHER MULTI-RACIAL,3,0,10/18,11/18,0,FY19,1084
SF,75,12 - BLACK/AFRICAN AMER,1,0,07/17,08/18,52335,FY19,798
RENTAL,0,11 - WHITE,0,0,09/18,12/18,8905,FY19,121
RENTAL,0,11 - WHITE,3,0,11/17,06/18,8215,FY18,545
SF,75,12 - BLACK/AFRICAN AMER,2,0,10/18,11/18,2875,FY19,753
SF,56,12 - BLACK/AFRICAN AMER,3,0,09/18,12/18,7426,FY19,287
RENTAL,,11 - WHITE,,0,06/18,10/18,8440,FY19,939
RENTAL,,11 - WHITE,,0,03/18,08/18,15281,FY19,215
RENTAL,,11 - WHITE,4,0,10/17,07/18,15980,FY19,404
SF,22,11 - WHITE,1,0,07/18,08/18,0,FY19,633
RENTAL,0,11 - WHITE,,0,05/18,06/18,0,FY18,201
SF,77,11 - WHITE,2,0,10/17,03/18,17960,FY18,1098
RENTAL,0,11 - WHITE,0,0,11/17,04/18,770,FY18,460
RENTAL,0,11 - WHITE,0,0,01/18,04/18,8715,FY18,728
SF,52,12 - BLACK/AFRICAN AMER,1,0,04/18,04/18,0,FY18,894
RENTAL,0,11 - WHITE,0,0,06/17,04/18,0,FY18,225
SF,64,11 - WHITE,2,0,09/16,01/18,32215,FY18,689
RENTAL,0,11 - WHITE,0,0,06/17,02/18,32817,FY18,236
SF,47,11 - WHITE,1,0,10/17,02/18,18510,FY18,445
SF,46,12 - BLACK/AFRICAN AMER,1,0,09/17,12/17,12345,FY18,946
SF,50,11 - WHITE,2,0,11/17,11/17,0,FY18,1083
SF,0,0 - NON-PROFIT,0,0,03/14,11/17,36939.05078125,FY18,1083
SF,58,11 - WHITE,1,0,07/17,09/17,4260,FY18,717
RENTAL,0,12 - BLACK/AFRICAN AMER,0,0,06/17,09/17,14610,FY18,521
SF,42,11 - WHITE,3,0,09/16,08/17,40119.25,FY18,815
SF,63,NA,2,0,05/16,08/17,45183.5,FY18,244
SF,63,12 - BLACK/AFRICAN AMER,2,0,06/17,08/17,9045,FY18,806
SF,27,12 - BLACK/AFRICAN AMER,1,0,06/17,08/17,8850,FY18,584
SF,60,17 - ASIAN & WHITE,1,0,07/17,08/17,7955,FY18,1097
SF,27,11 - WHITE,1,0,02/17,03/17,10156,FY17,319
SF,67,12 - BLACK/AFRICAN AMER,1,0,02/17,03/17,0,FY17,945
SF,60,11 - WHITE,1,0,04/16,12/16,11785,FY17,375
SF,29,11 - WHITE,3,0,09/16,02/17,43291.69921875,FY17,532
SF,48,11 - WHITE,1,0,10/16,11/16,10865,FY17,327
SF,34,12 - BLACK/AFRICAN AMER,6,0,08/16,10/16,0,FY17,740
SF,43,11 - WHITE,3,0,09/16,10/16,0,FY17,447
SF,48,11 - WHITE,1,0,08/16,10/16,0,FY17,629
